eggmass,date,session,operator,device,time.sec,count,curly,notes
97,,2,Ally,Aplysia Bar,33,2,,
97,,2,Ally,Aplysia Bar,31,3,,
97,,2,Ally,Aplysia Bar,18,2,,
97,,2,Ally,Aplysia Bar,29,3,,
97,,2,Ally,Aplysia Bar,32,4,,
97,,2,Ally,Aplysia Bar,21,1,,
97,,2,Ally,Aplysia Bar,21,2,,
97,,2,Ally,Aplysia Bar,21,2,,
97,,2,Ally,Aplysia Bar,25,2,,
97,,2,Ally,Aplysia Bar,17,1,,
97,,2,Ally,Aplysia Bar,17,1,,
97,,2,Ally,Aplysia Bar,24,2,,
97,,2,Ally,Aplysia Bar,19,1,,
97,,2,Ally,Aplysia Bar,40,2,,
97,,2,Ally,Aplysia Bar,21,1,,
97,,2,Ally,Aplysia Bar,62,3,,
97,,2,Ally,Aplysia Bar,21,2,,
97,,2,Ally,Aplysia Bar,27,1,,
97,,2,Ally,Aplysia Bar,28,2,,
97,,2,Ally,Aplysia Bar,26,1,,
97,,2,Ally,Aplysia Bar,18,1,,
97,,2,Ally,Aplysia Bar,17,1,,
97,,2,Ally,Aplysia Bar,22,1,,
97,,2,Ally,Aplysia Bar,19,1,,
97,,2,Ally,Aplysia Bar,24,1,,
97,,2,Ally,Aplysia Bar,11,1,,
97,,2,Ally,Aplysia Bar,21,1,,
97,,2,Ally,Aplysia Bar,23,1,,
97,,2,Ally,Aplysia Bar,11,1,,
97,,2,Ally,Aplysia Bar,12,1,,
97,,2,Ally,Aplysia Bar,9,1,,
97,,2,Ally,Aplysia Bar,21,1,,
97,,2,Ally,Aplysia Bar,34,2,,
97,,2,Ally,Aplysia Bar,24,1,,
97,,2,Ally,Aplysia Bar,44,2,,
unknown,2/8/23,5,Ally,Aplysia Bar,118,17,,
unknown,2/8/23,5,Ally,Aplysia Bar,69,12,,
unknown,2/8/23,5,Ally,Aplysia Bar,19,1,,
unknown,2/8/23,5,Ally,Aplysia Bar,25,3,,
unknown,2/8/23,5,Ally,Aplysia Bar,55,8,,
unknown,2/8/23,5,Ally,Aplysia Bar,46,4,,
unknown,2/8/23,5,Ally,Aplysia Bar,33,4,,
unknown,2/8/23,5,Ally,Aplysia Bar,78,5,,
unknown,2/8/23,5,Ally,Aplysia Bar,28,1,,
unknown,2/8/23,5,Ally,Aplysia Bar,38,2,,
unknown,2/8/23,5,Ally,Aplysia Bar,40,3,,
